Subunits	Control	Gene_W	Gene_Y	Scramble	Gene_W_KD	Gene_W_mut1	Gene_W_mut2
SR_4	-0.1648	-0.63695	0.500498	0.435661	-0.32429876	-0.03439	0.224277
CD_R5A	-0.58582	-0.37722	-1.21103	0.662706	1.242055096	-0.40691	0.676211
I_Y	-0.38238	-0.37539	2.366797	-0.42391	-0.4059188	-0.38061	-0.39859
SC_R9	-0.63462	-0.05963	-0.7878	-0.84071	0.976939116	0.099317	1.246501
Sc_A8	-0.5224	-0.02866	-0.43925	2.064069	-1.2064453	0.159584	-0.02689
CD_R5B	1.388293	-0.02417	0.184276	-1.77471	0.620878905	0.063779	-0.45834
C_MK	-0.80618	0.116815	-1.36789	1.529091	-0.36747585	0.29864	0.596997
SC_R10	-0.3518	0.272143	-1.57922	1.2504	0.076270026	-0.26089	0.593104
SC_T	0.405431	0.297964	0.279858	0.585655	0.427533112	0.362104	-2.35855
UK_Z19	0.648682	0.327977	1.407937	-0.23487	-1.70321185	-0.15114	-0.29537
CD_M	-0.21359	0.329323	0.655791	-0.72648	1.130693679	0.008892	-1.18462
E2_U	-0.26512	1.23322	-0.51998	-1.72887	-0.15958461	0.877156	0.563174
C_W	-0.61914	1.429095	-0.68513	-0.37678	-1.42790978	1.118999	0.56086
